//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-15-2025
//--  Time: 20:38
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 4700 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 44864 Ohms 
//--    Temperature2: 0.0(C), 	Resistance 2: 5784 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 186.6 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	392.10	3921 	0.024
6	372.77	3728 	0.029
7	357.05	3571 	0.034
8	343.88	3439 	0.039
9	332.57	3326 	0.044
10	322.70	3227 	0.049
11	313.96	3140 	0.054
12	306.14	3061 	0.059
13	299.06	2991 	0.063
14	292.61	2926 	0.068
15	286.70	2867 	0.073
16	281.23	2812 	0.078
17	276.16	2762 	0.083
18	271.44	2714 	0.088
19	267.02	2670 	0.093
20	262.86	2629 	0.098
21	258.95	2590 	0.103
22	255.25	2553 	0.107
23	251.75	2517 	0.112
24	248.42	2484 	0.117
25	245.25	2452 	0.122
26	242.22	2422 	0.127
27	239.33	2393 	0.132
28	236.57	2366 	0.137
29	233.91	2339 	0.142
30	231.36	2314 	0.146
31	228.91	2289 	0.151
32	226.55	2266 	0.156
33	224.28	2243 	0.161
34	222.08	2221 	0.166
35	219.96	2200 	0.171
36	217.90	2179 	0.176
37	215.91	2159 	0.181
38	213.99	2140 	0.186
39	212.12	2121 	0.190
40	210.30	2103 	0.195
41	208.54	2085 	0.200
42	206.83	2068 	0.205
43	205.16	2052 	0.210
44	203.53	2035 	0.215
45	201.95	2020 	0.220
46	200.41	2004 	0.225
47	198.91	1989 	0.229
48	197.44	1974 	0.234
49	196.00	1960 	0.239
50	194.60	1946 	0.244
51	193.24	1932 	0.249
52	191.90	1919 	0.254
53	190.59	1906 	0.259
54	189.31	1893 	0.264
55	188.05	1881 	0.269
56	186.82	1868 	0.273
57	185.62	1856 	0.278
58	184.44	1844 	0.283
59	183.28	1833 	0.288
60	182.14	1821 	0.293
61	181.03	1810 	0.298
62	179.93	1799 	0.303
63	178.86	1789 	0.308
64	177.80	1778 	0.313
65	176.76	1768 	0.317
66	175.74	1757 	0.322
67	174.74	1747 	0.327
68	173.75	1738 	0.332
69	172.78	1728 	0.337
70	171.83	1718 	0.342
71	170.89	1709 	0.347
72	169.96	1700 	0.352
73	169.05	1691 	0.356
74	168.16	1682 	0.361
75	167.27	1673 	0.366
76	166.40	1664 	0.371
77	165.54	1655 	0.376
78	164.70	1647 	0.381
79	163.86	1639 	0.386
80	163.04	1630 	0.391
81	162.23	1622 	0.396
82	161.43	1614 	0.400
83	160.64	1606 	0.405
84	159.86	1599 	0.410
85	159.09	1591 	0.415
86	158.34	1583 	0.420
87	157.59	1576 	0.425
88	156.85	1568 	0.430
89	156.12	1561 	0.435
90	155.39	1554 	0.439
91	154.68	1547 	0.444
92	153.98	1540 	0.449
93	153.28	1533 	0.454
94	152.59	1526 	0.459
95	151.91	1519 	0.464
96	151.24	1512 	0.469
97	150.57	1506 	0.474
98	149.92	1499 	0.479
99	149.26	1493 	0.483
100	148.62	1486 	0.488
101	147.98	1480 	0.493
102	147.36	1474 	0.498
103	146.73	1467 	0.503
104	146.12	1461 	0.508
105	145.50	1455 	0.513
106	144.90	1449 	0.518
107	144.30	1443 	0.522
108	143.71	1437 	0.527
109	143.12	1431 	0.532
110	142.54	1425 	0.537
111	141.97	1420 	0.542
112	141.40	1414 	0.547
113	140.84	1408 	0.552
114	140.28	1403 	0.557
115	139.72	1397 	0.562
116	139.17	1392 	0.566
117	138.63	1386 	0.571
118	138.09	1381 	0.576
119	137.56	1376 	0.581
120	137.03	1370 	0.586
121	136.50	1365 	0.591
122	135.98	1360 	0.596
123	135.47	1355 	0.601
124	134.96	1350 	0.605
125	134.45	1345 	0.610
126	133.95	1339 	0.615
127	133.45	1335 	0.620
128	132.96	1330 	0.625
129	132.47	1325 	0.630
130	131.98	1320 	0.635
131	131.50	1315 	0.640
132	131.02	1310 	0.645
133	130.54	1305 	0.649
134	130.07	1301 	0.654
135	129.60	1296 	0.659
136	129.14	1291 	0.664
137	128.68	1287 	0.669
138	128.22	1282 	0.674
139	127.77	1278 	0.679
140	127.32	1273 	0.684
141	126.87	1269 	0.688
142	126.43	1264 	0.693
143	125.99	1260 	0.698
144	125.55	1256 	0.703
145	125.12	1251 	0.708
146	124.69	1247 	0.713
147	124.26	1243 	0.718
148	123.83	1238 	0.723
149	123.41	1234 	0.728
150	122.99	1230 	0.732
151	122.57	1226 	0.737
152	122.16	1222 	0.742
153	121.75	1217 	0.747
154	121.34	1213 	0.752
155	120.94	1209 	0.757
156	120.53	1205 	0.762
157	120.13	1201 	0.767
158	119.73	1197 	0.771
159	119.34	1193 	0.776
160	118.95	1189 	0.781
161	118.56	1186 	0.786
162	118.17	1182 	0.791
163	117.78	1178 	0.796
164	117.40	1174 	0.801
165	117.02	1170 	0.806
166	116.64	1166 	0.811
167	116.26	1163 	0.815
